crop_type,region,fertilizer_used,soil_ph,nitrogen,phosphorus,potassium,temperature,humidity,rainfall,disease_label,KMeans_Zone,DBSCAN_Zone
Wheat,Hilly,Yes,6.81,138.0,54.0,48,20.9,63.7,95.6,Powdery Mildew,1,4
Potato,Hilly,No,6.2,111.0,55.0,104,17.1,60.9,62.7,Early Blight,1,7
Rice,Terai,No,6.44,106.0,53.0,45,29.2,79.9,232.8,Healthy,0,0
Mustard,Hilly,Yes,7.18,90.0,52.0,24,22.3,74.6,62.3,Healthy,2,2
Millet,Mountain,Yes,5.86,48.0,49.0,42,31.8,56.6,105.7,Blast,2,2
Cotton,Terai,No,6.47,88.0,46.0,45,33.6,41.5,146.5,Leaf Spot,2,6
Maize,Terai,Yes,7.05,105.0,58.0,62,21.0,58.0,119.3,Healthy,2,2
Wheat,Hilly,Yes,6.55,101.0,52.0,79,13.3,70.7,52.1,Smut,1,4
Mustard,Hilly,No,6.31,78.0,34.0,48,18.8,69.4,61.7,Healthy,2,11
Cotton,Terai,Yes,7.07,71.0,52.0,45,29.7,44.7,110.0,Boll Rot,2,2
Wheat,Hilly,Yes,6.24,92.0,71.0,46,12.6,58.0,80.5,Smut,1,4
Rice,Terai,No,6.59,81.0,31.0,57,33.8,83.0,232.8,Sheath Rot,0,0
Potato,Hilly,No,6.47,115.0,59.0,104,12.0,68.4,106.8,Early Blight,1,-1
Potato,Mountain,Yes,4.921250000000001,117.0,71.0,104,14.6,61.1,118.3,Late Blight,1,4
Wheat,Hilly,Yes,7.2,94.0,49.0,64,20.6,51.7,55.0,Healthy,1,4
Potato,Mountain,Yes,5.62,95.0,84.125,104,10.1,78.5,109.8,Early Blight,1,4
Potato,Mountain,Yes,6.41,97.0,80.0,95,17.5,63.2,120.2,Healthy,1,4
Potato,Mountain,Yes,6.47,140.0,50.0,104,10.0,76.2,87.0,Late Blight,1,-1
Maize,Hilly,No,6.61,117.0,45.0,61,31.9,70.9,116.3,Healthy,2,8
Maize,Hilly,Yes,6.41,94.0,45.0,43,31.0,59.5,98.4,Stalk Rot,2,2
Cotton,Terai,Yes,7.0,76.0,52.0,31,29.5,66.25,143.3,Leaf Spot,2,2
Maize,Terai,No,5.81,94.0,55.0,46,23.2,77.1,99.1,Healthy,2,6
Wheat,Terai,No,6.08,105.0,77.0,51,22.5,51.4,79.4,Smut,1,-1
Mustard,Terai,Yes,7.24,64.0,33.0,32,16.1,73.1,56.2,Downy Mildew,2,2
Rice,Terai,Yes,6.79,113.0,44.0,49,30.6,93.4,232.8,Healthy,0,5
Cotton,Terai,Yes,6.06,81.0,38.0,56,37.2,46.4,62.3,Leaf Spot,2,2
Mustard,Hilly,Yes,6.22,80.0,36.0,37,13.3,72.3,57.8,Healthy,2,2
Potato,Mountain,Yes,4.97,124.0,53.0,89,16.0,69.2,74.6,Scab,1,4
Mustard,Terai,Yes,6.98,89.0,39.0,39,19.1,53.4,99.9,Blight,2,2
Potato,Hilly,Yes,6.47,138.0,80.0,89,14.7,64.0,107.7,Late Blight,1,4
Millet,Mountain,No,7.21,49.0,43.0,24,29.1,64.0,51.6,Blast,2,10
Cotton,Terai,Yes,7.81,88.0,49.0,46,25.8,55.5,138.3,Boll Rot,2,2
Potato,Mountain,No,5.62,134.0,58.0,97,17.7,66.9,108.3,Early Blight,1,7
Tomato,Terai,Yes,6.15,122.0,60.0,96,20.8,63.3,84.8,Healthy,1,5
Maize,Hilly,No,6.38,106.0,51.0,51,25.1,61.0,181.3,Stalk Rot,2,9
Mustard,Hilly,No,7.47,85.0,51.0,49,15.8,57.6,49.8,Healthy,2,11
Rice,Terai,Yes,6.19,83.0,43.0,42,24.0,85.4,229.8,Sheath Rot,0,5
Cotton,Terai,No,7.68,80.0,53.0,31,31.3,60.6,149.2,Wilt,2,6
Cotton,Terai,No,6.46,81.0,55.0,50,34.5,59.8,123.9,Boll Rot,2,6
Maize,Terai,No,6.92,78.0,43.0,60,29.9,64.9,95.3,Blight,2,6
Cotton,Terai,No,7.35,89.0,38.0,30,30.6,44.1,98.7,Boll Rot,2,6
Wheat,Hilly,Yes,7.0,130.0,54.0,57,10.5,57.8,96.3,Powdery Mildew,1,4
Potato,Mountain,Yes,5.45,134.0,69.0,87,21.1,82.3,99.9,Scab,1,4
Maize,Hilly,No,6.46,97.0,69.0,48,25.4,72.2,114.9,Stalk Rot,2,8
Millet,Hilly,No,6.47,67.0,34.0,29,33.4,47.9,81.7,Rust,2,1
Maize,Terai,Yes,5.92,125.0,51.0,56,23.4,79.5,131.9,Stalk Rot,0,2
Rice,Terai,Yes,6.17,93.0,47.0,32,31.0,83.3,232.8,Blast,0,5
Rice,Terai,No,5.64,74.0,56.0,41,33.6,94.8,232.8,Healthy,0,-1
Rice,Terai,No,6.73,89.0,55.0,48,33.8,71.8,232.8,Blight,0,0
Tomato,Hilly,No,6.66,122.0,68.0,89,22.3,66.25,57.7,Healthy,1,7
Potato,Hilly,No,5.59,132.0,79.0,88,12.0,79.3,124.7,Healthy,1,7
Maize,Hilly,No,6.4,94.0,49.0,47,25.1,60.3,184.5,Healthy,2,9
Maize,Terai,No,6.69,124.0,35.0,54,24.2,72.0,173.8,Mosaic,0,6
Potato,Hilly,Yes,5.28,98.0,61.0,98,19.7,67.4,64.0,Early Blight,1,4
Rice,Terai,Yes,6.11,114.0,48.0,47,25.8,66.25,232.8,Blight,0,5
Potato,Mountain,Yes,5.07,100.0,60.0,87,20.0,82.2,89.1,Scab,1,4
Cotton,Terai,No,6.13,84.0,31.0,31,34.9,63.3,95.0,Leaf Spot,2,-1
Wheat,Terai,Yes,7.32,94.0,45.0,58,18.5,53.5,123.8,Smut,1,5
Wheat,Terai,Yes,6.66,83.0,69.0,62,18.7,74.4,135.5,Smut,1,5
Maize,Terai,Yes,6.45,95.0,41.0,67,26.6,64.4,101.4,Healthy,2,2
Rice,Terai,No,6.28,111.0,49.0,35,30.3,83.9,207.5,Blast,0,0
Rice,Terai,Yes,6.47,116.0,37.0,32,25.4,87.2,153.4,Sheath Rot,0,5
Cotton,Terai,Yes,6.79,73.0,35.0,50,32.1,58.2,117.8,Leaf Spot,2,2
Wheat,Hilly,Yes,6.43,138.0,62.0,54,12.5,52.2,52.6,Rust,1,4
Potato,Hilly,Yes,4.921250000000001,105.0,60.0,84,12.7,76.7,147.8,Healthy,1,4
Rice,Terai,No,6.02,97.0,31.0,35,29.4,81.4,194.0,Sheath Rot,0,0
Wheat,Hilly,No,7.11,90.0,44.0,42,10.0,71.1,141.5,Smut,1,-1
Mustard,Hilly,Yes,6.04,94.0,48.0,41,23.1,53.4,99.9,Blight,2,2
Wheat,Hilly,Yes,6.47,100.0,57.0,68,10.1,55.0,138.0,Smut,1,4
Millet,Hilly,No,7.07,34.0,39.0,23,24.5,44.9,65.6,Downy Mildew,2,10
Tomato,Terai,Yes,6.83,120.0,44.0,78,24.0,55.3,66.1,Wilt,1,5
Millet,Hilly,Yes,6.91,68.0,40.0,45,20.8,56.4,99.0,Healthy,2,2
Maize,Hilly,Yes,6.47,115.0,59.0,65,24.2,62.4,192.7,Healthy,1,2
Rice,Terai,Yes,6.01,102.0,46.0,37,24.8,86.1,167.4,Blast,0,5
Wheat,Hilly,Yes,6.54,114.0,42.0,46,16.0,66.25,99.9,Healthy,1,4
Maize,Terai,Yes,6.09,107.0,47.0,69,27.4,67.2,133.8,Healthy,2,2
Mustard,Terai,Yes,7.44,90.0,49.0,42,20.4,52.2,66.5,White Rust,2,2
Rice,Terai,Yes,5.55,110.0,43.0,36,32.1,91.0,99.9,Blight,0,5
Maize,Terai,No,6.15,124.0,44.0,66,22.1,69.1,122.5,Healthy,2,6
Rice,Terai,Yes,6.81,119.0,53.0,42,28.4,85.7,212.4,Blast,0,5
Rice,Terai,No,6.69,104.0,44.0,31,32.3,75.1,155.9,Blast,0,0
Mustard,Terai,Yes,7.34,61.0,52.0,42,21.5,51.8,70.8,White Rust,2,2
Cotton,Terai,Yes,7.29,94.0,45.0,39,28.0,48.4,133.7,Leaf Spot,2,2
Potato,Mountain,Yes,6.16,146.0,53.0,95,21.4,81.9,141.2,Late Blight,1,4
Rice,Terai,Yes,6.75,108.0,55.0,31,32.0,84.5,204.6,Healthy,0,5
Mustard,Terai,Yes,6.61,79.0,56.0,29,24.3,64.8,88.9,White Rust,2,2
Wheat,Terai,No,6.59,84.0,43.0,63,16.8,74.6,88.6,Smut,1,-1
Potato,Mountain,Yes,6.34,97.0,71.0,104,10.8,74.3,122.3,Scab,1,4
Tomato,Hilly,Yes,6.4,128.0,68.0,82,21.5,72.0,77.2,Healthy,1,4
Cotton,Terai,Yes,7.58,82.0,35.0,55,36.0,50.0,98.5,Boll Rot,2,2
Cotton,Terai,Yes,7.51,94.0,38.0,45,26.9,52.4,88.1,Boll Rot,2,2
Cotton,Terai,Yes,6.41,73.0,42.0,33,28.9,57.8,139.9,Wilt,2,2
Maize,Terai,Yes,5.9,87.0,65.0,40,26.3,55.1,144.5,Mosaic,2,2
Mustard,Terai,No,6.45,87.0,36.0,43,17.8,60.0,99.9,Healthy,2,3
Mustard,Hilly,Yes,6.34,99.0,45.0,24,11.6,74.3,41.7,Blight,2,2
Millet,Mountain,Yes,7.44,55.0,31.0,23,31.0,68.8,114.9,Rust,2,-1
Mustard,Terai,Yes,7.47,66.0,36.0,26,13.5,68.2,89.2,Healthy,2,2
Cotton,Terai,No,7.09,95.0,36.0,50,26.4,50.2,68.5,Wilt,2,6
Cotton,Terai,Yes,7.87,103.0,42.0,50,31.6,69.1,81.9,Healthy,2,2
Potato,Mountain,Yes,5.67,142.0,64.0,86,18.4,68.1,99.9,Early Blight,1,4
Maize,Terai,No,6.13,98.0,50.0,51,18.6,77.7,152.5,Blight,0,6
Cotton,Terai,No,7.43,94.0,38.0,58,27.0,56.5,75.0,Boll Rot,2,6
Cotton,Terai,Yes,6.27,79.0,35.0,40,36.3,54.3,72.5,Healthy,2,2
Maize,Hilly,No,6.64,111.0,47.0,63,21.3,71.1,116.0,Blight,2,8
Potato,Hilly,Yes,5.87,122.0,55.0,102,14.0,73.3,145.7,Early Blight,1,4
Cotton,Terai,Yes,7.23,67.0,55.0,58,31.7,61.7,131.4,Leaf Spot,2,2
Rice,Terai,Yes,6.98,109.0,43.0,51,30.9,80.0,212.6,Blast,0,5
Tomato,Terai,Yes,6.69,114.0,65.0,63,29.4,67.5,53.4,Mosaic,1,5
Cotton,Terai,Yes,7.29,77.0,53.0,47,33.4,65.2,143.1,Leaf Spot,2,2
Cotton,Terai,Yes,6.73,107.0,58.0,34,27.2,66.1,88.3,Wilt,2,2
Maize,Hilly,No,7.1,92.0,51.0,38,25.2,68.9,99.9,Mosaic,2,8
Tomato,Terai,Yes,7.0,85.0,73.0,74,28.9,79.2,84.2,Mosaic,1,5
Tomato,Hilly,No,6.99,94.0,48.0,88,28.2,77.2,43.2,Healthy,1,-1
Tomato,Hilly,Yes,6.23,102.0,47.0,52,22.7,72.0,87.4,Healthy,1,4
Rice,Terai,Yes,6.05,91.0,56.0,50,25.7,70.5,194.0,Healthy,0,5
Rice,Terai,No,6.36,94.0,51.0,37,32.9,72.8,194.6,Blast,0,0
Tomato,Hilly,Yes,6.07,90.0,55.0,99,20.8,71.9,66.7,Healthy,1,4
Cotton,Terai,Yes,7.16,80.0,40.0,33,27.0,66.25,97.7,Boll Rot,2,2
Cotton,Terai,Yes,6.5,106.0,47.0,46,34.7,43.5,77.2,Healthy,2,2
Rice,Terai,Yes,6.2,111.0,58.0,57,26.0,71.3,189.3,Blast,0,5
Potato,Mountain,No,6.38,149.0,81.0,104,17.5,81.3,85.1,Healthy,1,-1
Potato,Mountain,Yes,6.47,139.0,84.125,95,14.7,66.25,113.7,Late Blight,1,4
Millet,Hilly,No,5.85,33.0,29.0,24,23.9,51.1,100.1,Rust,2,1
Potato,Hilly,No,6.47,94.0,81.0,94,18.8,67.4,99.6,Late Blight,1,7
Cotton,Terai,Yes,7.11,60.0,52.0,31,27.4,63.5,85.5,Leaf Spot,2,2
Millet,Hilly,Yes,5.99,42.0,48.0,47,32.9,40.1,78.5,Blast,2,2
Maize,Terai,Yes,6.97,112.0,55.0,66,27.0,57.9,170.9,Healthy,2,2
Mustard,Terai,Yes,7.43,69.0,52.0,35,16.2,67.7,72.1,Downy Mildew,2,2
Tomato,Hilly,Yes,6.53,116.0,42.0,57,29.2,74.0,58.9,Healthy,1,4
Millet,Mountain,Yes,6.79,63.0,28.0,25,21.7,57.3,46.1,Downy Mildew,2,2
Tomato,Terai,Yes,6.46,86.0,66.0,60,27.3,66.25,43.4,Mosaic,1,5
Potato,Hilly,Yes,6.15,106.0,75.0,104,19.5,74.1,96.7,Early Blight,1,4
Cotton,Terai,Yes,6.34,98.0,33.0,43,35.0,47.3,82.7,Healthy,2,2
Millet,Hilly,Yes,6.63,43.0,29.0,39,24.1,40.2,105.9,Downy Mildew,2,2
Millet,Mountain,No,6.03,30.0,28.0,43,31.6,43.6,104.6,Downy Mildew,2,1
Mustard,Terai,Yes,7.2,75.0,35.0,42,18.1,55.4,86.8,Downy Mildew,2,2
Millet,Hilly,Yes,6.07,39.0,30.0,25,26.6,61.6,67.2,Rust,2,2
Wheat,Terai,Yes,6.98,119.0,63.0,43,20.8,57.1,111.2,Healthy,1,5
Cotton,Terai,Yes,7.57,65.0,42.0,55,33.4,59.1,92.1,Boll Rot,2,2
Millet,Hilly,Yes,6.32,44.0,29.0,41,28.6,43.8,74.7,Rust,2,2
Cotton,Terai,Yes,6.63,72.0,36.0,42,34.3,46.1,77.1,Wilt,2,2
Rice,Terai,Yes,6.84,94.0,51.0,45,33.4,92.4,232.8,Blast,0,5
Rice,Terai,Yes,5.61,61.0,37.0,46,26.8,84.8,182.4,Blast,0,5
Maize,Terai,No,6.47,76.0,53.0,44,30.5,64.2,114.5,Mosaic,2,6
Cotton,Terai,No,6.42,67.0,52.0,45,28.1,67.4,99.4,Healthy,2,6
Wheat,Terai,No,7.11,91.0,64.0,57,20.8,72.6,92.0,Powdery Mildew,1,-1
Mustard,Hilly,Yes,6.97,70.0,55.0,35,10.5,53.0,93.9,Healthy,2,2
Rice,Terai,Yes,6.28,96.0,43.0,54,32.9,91.2,222.0,Healthy,0,5
Millet,Mountain,No,6.55,40.0,31.0,37,20.7,68.0,63.7,Healthy,2,-1
Wheat,Terai,Yes,7.0,130.0,46.0,40,12.7,66.25,120.5,Healthy,1,5
Mustard,Hilly,Yes,7.19,76.0,36.0,26,13.6,51.3,49.6,White Rust,2,-1
Rice,Terai,Yes,6.0,70.0,37.0,54,26.8,82.1,99.9,Blast,0,5
Potato,Hilly,Yes,5.66,101.0,84.0,104,11.2,73.8,95.3,Scab,1,4
Tomato,Hilly,Yes,6.23,114.0,49.0,81,24.3,74.2,62.1,Mosaic,1,4
Maize,Terai,No,6.0,102.0,55.0,54,20.5,77.9,94.9,Mosaic,2,6
Rice,Terai,No,6.1,116.0,30.0,47,31.7,71.0,182.9,Blast,0,0
Wheat,Terai,Yes,7.36,91.0,56.0,57,12.5,52.1,62.1,Powdery Mildew,1,5
Potato,Hilly,Yes,5.16,90.0,62.0,104,18.4,65.1,99.0,Scab,1,4
Mustard,Terai,Yes,6.52,74.0,56.0,33,21.7,72.2,64.5,Downy Mildew,2,2
Cotton,Terai,No,7.38,74.0,44.0,31,30.5,58.2,125.5,Leaf Spot,2,6
Maize,Hilly,Yes,6.98,115.0,43.0,68,30.3,55.7,196.9,Mosaic,2,-1
Mustard,Terai,Yes,7.21,88.0,41.0,30,16.0,62.7,79.6,Healthy,2,2
Cotton,Terai,No,6.89,94.0,47.0,35,32.5,68.6,107.6,Leaf Spot,2,6
Maize,Terai,Yes,6.61,92.0,35.0,39,31.5,70.8,189.2,Blight,0,2
Cotton,Terai,Yes,7.72,97.0,42.0,44,37.6,46.6,107.3,Wilt,2,2
Cotton,Terai,Yes,6.93,100.0,50.0,35,37.3,57.5,141.7,Boll Rot,2,2
Potato,Mountain,Yes,5.5,143.0,56.0,104,16.4,76.5,129.4,Healthy,1,4
Rice,Terai,No,6.99,92.0,58.0,32,34.5,89.6,232.8,Sheath Rot,0,0
Maize,Hilly,Yes,6.03,115.0,61.0,37,19.9,74.2,142.2,Blight,1,2
Rice,Terai,No,6.72,68.0,44.0,58,29.7,66.25,180.1,Blast,0,0
Tomato,Terai,No,6.11,94.0,58.0,68,20.6,72.2,99.9,Mosaic,1,-1
Maize,Hilly,Yes,6.27,73.0,54.0,55,29.2,75.1,120.9,Stalk Rot,2,2
Cotton,Terai,Yes,6.06,62.0,40.0,32,25.2,68.4,130.2,Leaf Spot,2,2
Tomato,Terai,Yes,6.28,103.0,73.0,66,23.3,71.3,113.6,Leaf Curl,1,5
Rice,Terai,No,6.47,75.0,37.0,37,31.8,83.3,200.5,Sheath Rot,0,0
Rice,Terai,Yes,6.44,85.0,46.0,36,25.1,72.0,232.8,Blight,0,5
Wheat,Terai,Yes,6.98,112.0,42.0,60,20.0,60.3,96.2,Smut,1,5
Cotton,Terai,Yes,7.38,73.0,35.0,35,36.6,49.4,140.9,Healthy,2,2
Maize,Hilly,Yes,5.82,95.0,49.0,69,28.7,57.0,115.1,Stalk Rot,2,2
